ID,name,remarks,country_code,city,postal,street
9ab913cf-9a0b-4a22-a7d5-984e42b0b044,"Mueller, Wyman and Marquardt",Ref: 334-24-8661,RS,Novi Pazar,,609 Oneill Junction
bc7e0a50-9e9e-4450-814b-c4576351733d,Kassulke-Hand,Ref: 463-25-1583,FI,Karis,39290,1089 Rowland Plaza
e3ce4157-3d9b-40ed-83ee-85160c74ff87,"Casper, Rolfson and Dooley",Ref: 143-87-7996,JP,Naze,631-0034,63603 Mayfield Place
053c3943-fd12-4ed7-8fe1-0d6505b7ba5f,Luettgen Inc,Ref: 148-99-3343,PH,Tikiw,3109,09058 Aberg Avenue
4c871ed0-ec07-4c56-9d00-7d8f77eae76f,Kohler-Hintz,Ref: 184-19-7322,ID,Watubuku,,13 Haas Court
882246cc-1fe5-42e1-bc3a-68ab7c8e14fe,Ritchie-Lynch,Ref: 341-10-0505,FR,Bourges,18934 CEDEX 9,705 Spaight Alley
33453c27-0f46-4734-a0e5-41f46ed00565,"Schmitt, O'Conner and Mueller",Ref: 385-38-9621,SE,Vårgårda,447 82,72190 Shelley Way
7caf021f-a0ac-4fb6-8ff4-5da263b75096,"O'Kon, Kihn and Hammes",Ref: 986-82-6966,SN,Waoundé,,73216 Barby Place
23e5a3cb-9f9c-4c78-9932-9a364eeee511,Ledner-Kuphal,Ref: 924-38-5750,RU,Podkumskiy,357371,51114 Lakeland Crossing
0baa6b97-db39-43df-9be8-83d0d4f4f534,"Haag, Ratke and Cummerata",Ref: 120-69-1268,RU,Marfino,416325,3281 Stang Circle
e0a87ce5-dae2-46f4-94cb-0608f0a4de79,"Hackett, Moen and Abbott",Ref: 189-74-9104,AR,Avellaneda,5212,37 West Trail
a3661ac7-74ca-45fb-93f4-9f5d9549677e,"Greenholt, Wuckert and McLaughlin",Ref: 598-50-2191,TH,Chum Phae,40130,6313 Loeprich Lane
8bdb8dcf-d238-4aec-bbb2-2fc7ebf260b8,"Rohan, Ondricka and Welch",Ref: 111-20-4342,ID,Krajan,,0 Sundown Trail
611c7975-2f57-467a-bc06-2d2dd2f4d333,"Cartwright, Koepp and Gislason",Ref: 718-74-6073,FI,Kittilä,99101,7373 Mandrake Alley
57dfd5dc-478c-4096-9411-9b4358a237b2,"Jakubowski, Waelchi and Gorczany",Ref: 167-92-3661,FR,Auch,32004 CEDEX,157 Manley Crossing
559dbc32-eae1-47fd-b51a-06a3ac49d589,"Kessler, Davis and Reichert",Ref: 374-37-9711,ID,Bara Datu,,769 Columbus Court
18d31127-e974-45b6-b390-c5ca5687a13b,Beatty LLC,Ref: 220-09-9953,KR,Yeoju,,05401 Randy Plaza
549c11fa-adb1-4fdb-80f1-2c2f2142e29b,Zieme Inc,Ref: 702-70-6208,PH,Bolo,4712,567 Eagan Place
f4459e9a-3605-4da1-9e7f-7f0c7c94cbc1,Sauer and Sons,Ref: 800-54-3104,PL,Byczyna,46-220,5 Hagan Pass
